codigo	nombre	val1d	val2d	classd	val1h	val2h	classh
08420	TREHUACO	0.10	0.20	1	0.51	0.47	4
06112	PEUMO	0.37	0.20	5	1.17	0.47	5
06115	RENGO	0.08	0.20	1	0.35	0.47	2
13119	MAIPU	0.10	0.20	1	0.31	0.47	2
13118	MACUL	0.11	0.20	2	0.44	0.47	3
13203	SAN JOSE DE MAIPO	0.13	0.20	2	0.59	0.47	5
13202	PIRQUE	0.06	0.20	1	0.41	0.47	3
13201	PUENTE ALTO	0.07	0.20	1	0.32	0.47	2
06116	REQUINOA	0.11	0.20	2	0.32	0.47	2
09120	VILLARRICA	0.08	0.20	1	0.28	0.47	2
04101	LA SERENA	0.08	0.20	1	0.29	0.47	2
04102	COQUIMBO	0.07	0.20	1	0.28	0.47	2
04103		0.00	0.00	0	0.00	0.00	0
04104		0.00	0.00	0	0.00	0.00	0
04105		0.00	0.00	0	0.00	0.00	0
04106	VICU„A	0.16	0.20	3	0.41	0.47	3
08112	HUALPEN	0.10	0.20	1	0.26	0.47	2
08111	TOME	0.08	0.20	1	0.38	0.47	3
08110	TALCAHUANO	0.08	0.20	1	0.31	0.47	2
13113	LA REINA	0.15	0.20	3	0.57	0.47	4
13112	LA PINTANA	0.05	0.20	1	0.25	0.47	2
13111	LA GRANJA	0.11	0.20	2	0.42	0.47	3
13110	LA FLORIDA	0.10	0.20	1	0.36	0.47	3
13117	LO PRADO	0.10	0.20	1	0.37	0.47	3
13116	LO ESPEJO	0.09	0.20	1	0.32	0.47	2
13115	LO BARNECHEA	0.08	0.20	1	0.33	0.47	2
13114	LAS CONDES	0.18	0.20	3	0.68	0.47	5
08207	TIRUA	0.05	0.20	1	0.26	0.47	2
08206	LOS ALAMOS	0.09	0.20	1	0.25	0.47	2
08205	CURANILAHUE	0.10	0.20	2	0.41	0.47	3
08204	CONTULMO	0.08	0.20	1	0.42	0.47	3
08203	CA„ETE	0.13	0.20	2	0.49	0.47	4
08202	ARAUCO	0.06	0.20	1	0.35	0.47	3
08201	LEBU	0.12	0.20	2	0.39	0.47	3
13501	MELIPILLA	0.07	0.20	1	0.36	0.47	3
13502	ALHUE	0.08	0.20	1	0.38	0.47	3
13503	CURACAVI	0.11	0.20	2	0.39	0.47	3
13504	MARIA PINTO	0.09	0.20	1	0.38	0.47	3
13505	SAN PEDRO	0.07	0.20	1	0.38	0.47	3
11402		0.00	0.00	0	0.00	0.00	0
11401	CHILE CHICO	0.08	0.20	1	0.33	0.47	2
03101	COPIAPO	0.08	0.20	1	0.17	0.47	1
03103	TIERRA AMARILLA	0.10	0.20	1	0.16	0.47	1
03102	CALDERA	0.06	0.20	1	0.15	0.47	1
06205	NAVIDAD	0.07	0.20	1	0.63	0.47	5
06204	MARCHIGUE	0.31	0.20	5	1.23	0.47	5
06206	PAREDONES	0.14	0.20	2	0.52	0.47	4
06201	PICHILEMU	0.29	0.20	5	0.91	0.47	5
06203	LITECHUE	0.00	0.00	0	0.00	0.00	0
06202	LA ESTRELLA	0.13	0.20	2	0.54	0.47	4
10303	PURRANQUE	0.07	0.20	1	0.34	0.47	2
03202	DIEGO DE ALMAGRO	0.15	0.20	2	0.43	0.47	3
03201	CHA„ARAL	0.07	0.20	1	0.22	0.47	1
11301	COCHRANE	0.06	0.20	1	0.23	0.47	1
11302		0.00	0.00	0	0.00	0.00	0
11303		0.00	0.00	0	0.00	0.00	0
12402		0.00	0.00	0	0.00	0.00	0
12401	PUERTO NATALES	0.07	0.20	1	0.25	0.47	2
10307	SAN PABLO	0.07	0.20	1	0.30	0.47	2
10306	SAN JUAN DE LA COSTA	0.09	0.20	1	0.37	0.47	3
05101	VALPARAISO	0.09	0.20	1	0.42	0.47	3
14101		0.00	0.00	0	0.00	0.00	0
14103		0.00	0.00	0	0.00	0.00	0
14102		0.00	0.00	0	0.00	0.00	0
14105		0.00	0.00	0	0.00	0.00	0
14104		0.00	0.00	0	0.00	0.00	0
14107		0.00	0.00	0	0.00	0.00	0
14106		0.00	0.00	0	0.00	0.00	0
14108	PANGUIPULLI	0.00	0.00	0	0.00	0.00	0
10301	OSORNO	0.09	0.20	1	0.38	0.47	3
06108	MACHALI	0.13	0.20	2	0.35	0.47	2
06109	MALLOA	0.09	0.20	1	0.46	0.47	4
05705	PUTAENDO	0.11	0.20	2	0.50	0.47	4
06107	LAS CABRAS	0.08	0.20	1	0.39	0.47	3
06104	COLTAUCO	0.05	0.20	1	0.38	0.47	3
06105	DO„IHUE	0.06	0.20	1	0.34	0.47	2
06102	CODEGUA	0.06	0.20	1	0.34	0.47	2
06103		0.00	0.00	0	0.00	0.00	0
05703	LLAY - LLAY	0.11	0.20	2	0.46	0.47	4
06101	RANCAGUA	0.11	0.20	2	0.34	0.47	2
12301	PORVENIR	0.07	0.20	1	0.30	0.47	2
12303		0.00	0.00	0	0.00	0.00	0
05404	PETORCA	0.10	0.20	2	0.56	0.47	4
05405	ZAPALLAR	0.08	0.20	1	0.38	0.47	3
05402	CABILDO	0.21	0.20	4	0.89	0.47	5
05403	PAPUDO	0.07	0.20	1	0.35	0.47	2
05401	LA LIGUA	0.28	0.20	5	0.92	0.47	5
14202		0.00	0.00	0	0.00	0.00	0
14203		0.00	0.00	0	0.00	0.00	0
14201		0.00	0.00	0	0.00	0.00	0
14204		0.00	0.00	0	0.00	0.00	0
05109	VI„A DEL MAR	0.10	0.20	2	0.38	0.47	3
05103	CONCON	0.08	0.20	1	0.35	0.47	2
05102	CASABLANCA	0.12	0.20	2	0.60	0.47	5
10305	RIO NEGRO	0.09	0.20	1	0.31	0.47	2
10304	PUYEHUE	0.08	0.20	1	0.45	0.47	3
05107	QUINTERO	0.15	0.20	2	0.67	0.47	5
10302	PUERTO OCTAY	0.06	0.20	1	0.24	0.47	2
05105	PUCHUNCAVI	0.09	0.20	1	0.44	0.47	3
05104		0.00	0.00	0	0.00	0.00	0
07104	EMPEDRADO	0.14	0.20	2	0.58	0.47	4
10401		0.00	0.00	0	0.00	0.00	0
10402		0.00	0.00	0	0.00	0.00	0
10403	HUALAIHUE	0.03	0.20	1	0.24	0.47	2
10404		0.00	0.00	0	0.00	0.00	0
07408	YERBAS BUENAS	0.09	0.20	1	0.30	0.47	2
07404	PARRAL	0.07	0.20	1	0.31	0.47	2
07405	RETIRO	0.11	0.20	2	0.53	0.47	4
07406	SAN JAVIER	0.10	0.20	2	0.42	0.47	3
07407	VILLA ALEGRE	0.10	0.20	1	0.38	0.47	3
07401	LINARES	0.07	0.20	1	0.32	0.47	2
07402	COLBUN	0.05	0.20	1	0.34	0.47	2
07403	LONGAVI	0.09	0.20	1	0.33	0.47	2
13108	INDEPENDENCIA	0.10	0.20	2	0.44	0.47	3
13109	LA CISTERNA	0.14	0.20	2	0.38	0.47	3
13104	CONCHALI	0.08	0.20	1	0.44	0.47	3
13105	EL BOSQUE	0.06	0.20	1	0.25	0.47	2
13106	ESTACION CENTRAL	0.10	0.20	1	0.37	0.47	3
13107	HUECHURABA	0.08	0.20	1	0.40	0.47	3
13101	SANTIAGO	0.11	0.20	2	0.37	0.47	3
13102	CERRILLOS	0.15	0.20	3	0.35	0.47	2
13103	CERRO NAVIA	0.08	0.20	1	0.32	0.47	2
08409	„IQUEN	0.11	0.20	2	0.48	0.47	4
08408	NINHUE	0.16	0.20	3	0.52	0.47	4
08401	CHILLAN	0.11	0.20	2	0.41	0.47	3
08403	COBQUECURA	0.08	0.20	1	0.48	0.47	4
08402	BULNES	0.14	0.20	2	0.40	0.47	3
08405	COIHUECO	0.06	0.20	1	0.35	0.47	2
08404	COELEMU	0.13	0.20	2	0.38	0.47	3
08407	EL CARMEN	0.12	0.20	2	0.51	0.47	4
08406	CHILLAN VIEJO	0.05	0.20	1	0.28	0.47	2
02301		0.00	0.00	0	0.00	0.00	0
02302		0.00	0.00	0	0.00	0.00	0
01402		0.00	0.00	0	0.00	0.00	0
01403		0.00	0.00	0	0.00	0.00	0
01401		0.00	0.00	0	0.00	0.00	0
01404		0.00	0.00	0	0.00	0.00	0
01405		0.00	0.00	0	0.00	0.00	0
08104	FLORIDA	0.12	0.20	2	0.49	0.47	4
08105	HUALQUI	0.08	0.20	1	0.30	0.47	2
08106	LOTA	0.11	0.20	2	0.38	0.47	3
08107	PENCO	0.08	0.20	1	0.34	0.47	2
08101	CONCEPCION	0.09	0.20	1	0.32	0.47	2
08102	CORONEL	0.09	0.20	1	0.30	0.47	2
08103	CHIGUAYANTE	0.09	0.20	1	0.30	0.47	2
08108	SAN PEDRO DE LA PAZ	0.09	0.20	1	0.24	0.47	2
08109	SANTA JUANA	0.13	0.20	2	0.41	0.47	3
07101	TALCA	0.08	0.20	1	0.25	0.47	2
08314	ALTO DEL BIO BIO	0.00	0.00	0	0.00	0.00	0
07103	CUREPTO	0.31	0.20	5	1.32	0.47	5
07102	CONSTITUCION	0.08	0.20	1	0.33	0.47	2
07105	MAULE	0.06	0.20	1	0.25	0.47	2
08310	SAN ROSENDO	0.15	0.20	3	0.48	0.47	4
07107	PENCAHUE	0.11	0.20	2	0.43	0.47	3
07106	PELARCO	0.11	0.20	2	0.44	0.47	3
07109	SAN CLEMENTE	0.08	0.20	1	0.38	0.47	3
07108	RIO CLARO	0.10	0.20	2	0.44	0.47	3
13401	SAN BERNARDO	0.08	0.20	1	0.32	0.47	2
13403	CALERA DE TANGO	0.06	0.20	1	0.29	0.47	2
13402	BUIN	0.10	0.20	1	0.34	0.47	2
13404	PAINE	0.07	0.20	1	0.27	0.47	2
07202	CHANCO	0.24	0.20	4	1.03	0.47	5
07203	PELLUHUE	0.09	0.20	1	0.47	0.47	4
07201	CAUQUENES	0.07	0.20	1	0.33	0.47	2
11201	PUERTO AYSEN	0.07	0.20	1	0.26	0.47	2
11203		0.00	0.00	0	0.00	0.00	0
11202	CISNE	0.08	0.20	1	0.45	0.47	4
08311	SANTA BARBARA	0.09	0.20	1	0.35	0.47	3
04302	COMBARBALA	0.13	0.20	2	0.63	0.47	5
04303	MONTE PATRIA	0.07	0.20	1	0.28	0.47	2
04301	OVALLE	0.06	0.20	1	0.26	0.47	2
04304	PUNITAQUI	0.07	0.20	1	0.37	0.47	3
04305	RIO HURTADO	0.08	0.20	1	0.50	0.47	4
03304	HUASCO	0.18	0.20	3	0.44	0.47	3
03303	FREIRINA	0.10	0.20	1	0.36	0.47	3
03302	ALTO DEL CARMEN	0.07	0.20	1	0.55	0.47	4
03301	VALLENAR	0.13	0.20	2	0.37	0.47	3
05802	LIMACHE	0.00	0.00	0	0.00	0.00	0
05803		0.00	0.00	0	0.00	0.00	0
05801		0.00	0.00	0	0.00	0.00	0
05804		0.00	0.00	0	0.00	0.00	0
13131	SAN RAMON	0.10	0.20	1	0.33	0.47	2
13130	SAN MIGUEL	0.13	0.20	2	0.35	0.47	2
13132	VITACURA	0.12	0.20	2	0.55	0.47	4
08312	TUCAPEL	0.12	0.20	2	0.36	0.47	3
06310	SANTA CRUZ	0.07	0.20	1	0.35	0.47	2
05506	NOGALES	0.09	0.20	1	0.48	0.47	4
05504	LA CRUZ	0.09	0.20	1	0.41	0.47	3
05503	HIJUELAS	0.11	0.20	2	0.40	0.47	3
05502	LA CALERA	0.12	0.20	2	0.45	0.47	4
05501	QUILLOTA	0.08	0.20	1	0.34	0.47	2
12104	SAN GREGORIO	0.00	0.00	0	0.00	0.00	0
12103	RIO VERDE	0.00	0.00	0	0.00	0.00	0
12102	LAGUNA BLANCA	0.00	0.00	0	0.00	0.00	0
12101	PUNTA ARENAS	0.11	0.20	2	0.31	0.47	2
05201		0.00	0.00	0	0.00	0.00	0
09211	VICTORIA	0.10	0.20	1	0.40	0.47	3
09210	TRAIGUEN	0.19	0.20	3	0.65	0.47	5
08304	LAJA	0.10	0.20	2	0.39	0.47	3
09109	LONCOCHE	0.09	0.20	1	0.39	0.47	3
09108	LAUTARO	0.10	0.20	1	0.35	0.47	2
09107	GORBEA	0.13	0.20	2	0.39	0.47	3
09106	GALVARINO	0.09	0.20	1	0.52	0.47	4
09105	FREIRE	0.06	0.20	1	0.31	0.47	2
09104	CURARREHUE	0.03	0.20	1	0.28	0.47	2
09103	CUNCO	0.09	0.20	1	0.38	0.47	3
09102	CARAHUE	0.12	0.20	2	0.29	0.47	2
09101	TEMUCO	0.09	0.20	1	0.29	0.47	2
08418	SAN IGNACIO	0.12	0.20	2	0.55	0.47	4
08419	SAN NICOLAS	0.12	0.20	2	0.52	0.47	4
08412	PORTEZUELO	0.19	0.20	3	0.63	0.47	5
08413	QUILLON	0.15	0.20	2	0.55	0.47	4
08410	PEMUCO	0.12	0.20	2	0.53	0.47	4
08411	PINTO	0.08	0.20	1	0.51	0.47	4
08416	SAN CARLOS	0.10	0.20	1	0.40	0.47	3
08417	SAN FABIAN	0.09	0.20	1	0.75	0.47	5
08414	QUIRIHUE	0.11	0.20	2	0.48	0.47	4
08415	RANQUIL	0.14	0.20	2	0.47	0.47	4
06106		0.00	0.00	0	0.00	0.00	0
10210	QUINCHAO	0.09	0.20	1	0.38	0.47	3
05704	PANQUEHUE	0.13	0.20	2	0.28	0.47	2
05706	SANTA MARIA	0.06	0.20	1	0.31	0.47	2
05701	SAN FELIPE	0.08	0.20	1	0.31	0.47	2
05702	CATEMU	0.07	0.20	1	0.33	0.47	2
08306	NACIMIENTO	0.15	0.20	3	0.42	0.47	3
08307	NEGRETE	0.11	0.20	2	0.29	0.47	2
07110	SAN RAFAEL	0.10	0.20	1	0.37	0.47	3
08305	MULCHEN	0.17	0.20	3	0.58	0.47	4
08302	ANTUCO	0.10	0.20	1	0.55	0.47	4
08303	CABRERO	0.14	0.20	2	0.38	0.47	3
08301	LOS ANGELES	0.08	0.20	1	0.41	0.47	3
08308	QUILACO	0.18	0.20	3	0.66	0.47	5
08309	QUILLECO	0.06	0.20	1	0.47	0.47	4
02201	CALAMA	0.04	0.20	1	0.15	0.47	1
02203		0.00	0.00	0	0.00	0.00	0
02202		0.00	0.00	0	0.00	0.00	0
11102		0.00	0.00	0	0.00	0.00	0
11101	COIHAYQUE	0.06	0.20	1	0.24	0.47	2
13302	LAMPA	0.07	0.20	1	0.26	0.47	2
13303	TILTIL	0.11	0.20	2	0.39	0.47	3
13301	COLINA	0.05	0.20	1	0.26	0.47	2
04203	LOS VILOS	0.27	0.20	5	0.99	0.47	5
04202	CANELA	0.09	0.20	1	0.40	0.47	3
04201	ILLAPEL	0.15	0.20	3	0.85	0.47	5
04204	SALAMANCA	0.22	0.20	4	0.67	0.47	5
07303	LICANTEN	0.34	0.20	5	1.08	0.47	5
07302	HUALA„E	0.29	0.20	5	0.64	0.47	5
07301	CURICO	0.08	0.20	1	0.27	0.47	2
07307	SAGRADA FAMILIA	0.12	0.20	2	0.43	0.47	3
07306	ROMERAL	0.08	0.20	1	0.38	0.47	3
07305	RAUCO	0.08	0.20	1	0.48	0.47	4
07304	MOLINA	0.12	0.20	2	0.44	0.47	3
07309	VICHUQUEN	0.11	0.20	2	0.44	0.47	3
07308	TENO	0.12	0.20	2	0.45	0.47	4
01107	ALTO HOSPICIO	0.06	0.20	1	0.17	0.47	1
09121	CHOL CHOL	0.05	0.20	1	0.22	0.47	1
01101	IQUIQUE	0.09	0.20	1	0.27	0.47	2
13126	QUINTA NORMAL	0.11	0.20	2	0.41	0.47	3
13127	RECOLETA	0.11	0.20	2	0.41	0.47	3
13124	PUDAHUEL	0.07	0.20	1	0.28	0.47	2
13125	QUILICURA	0.06	0.20	1	0.30	0.47	2
13122	PE„ALOLEN	0.07	0.20	1	0.33	0.47	2
13123	PROVIDENCIA	0.17	0.20	3	0.69	0.47	5
13120	„U„OA	0.13	0.20	2	0.61	0.47	5
13121	PEDRO AGUIRRE CERDA	0.11	0.20	2	0.37	0.47	3
13128	RENCA	0.11	0.20	2	0.35	0.47	2
13129	SAN JOAQUIN	0.10	0.20	1	0.35	0.47	3
06308	PLACILLA	0.16	0.20	3	0.56	0.47	4
06309	PUMANQUE	0.29	0.20	5	0.94	0.47	5
06304	LOLOL	0.13	0.20	2	0.63	0.47	5
06305	NANCAGUA	0.27	0.20	5	0.98	0.47	5
06306	PALMILLA	0.06	0.20	1	0.35	0.47	3
06307	PERALILLO	0.11	0.20	2	0.34	0.47	2
06301	SAN FERNANDO	0.07	0.20	1	0.32	0.47	2
06302	CHEPICA	0.09	0.20	1	0.43	0.47	3
06303	CHIMBARONGO	0.13	0.20	2	0.64	0.47	5
05604	EL QUISCO	0.10	0.20	2	0.59	0.47	5
05605	EL TABO	0.20	0.20	4	0.70	0.47	5
05606	SANTO DOMINGO	0.11	0.20	2	0.42	0.47	3
05601	SAN ANTONIO	0.12	0.20	2	0.47	0.47	4
05602	ALGARROBO	0.13	0.20	2	0.46	0.47	4
05603	CARTAGENA	0.13	0.20	2	0.52	0.47	4
10107	LLANQUIHUE	0.13	0.20	2	0.39	0.47	3
09115	PUCON	0.05	0.20	1	0.25	0.47	2
09118	TOLTEN	0.10	0.20	1	0.49	0.47	4
09119	VILCUN	0.06	0.20	1	0.29	0.47	2
09110	MELIPEUCO	0.05	0.20	1	0.27	0.47	2
09111	NUEVA IMPERIAL	0.05	0.20	1	0.26	0.47	2
09112	PADRE LAS CASAS	0.07	0.20	1	0.32	0.47	2
09113	PERQUENCO	0.08	0.20	1	0.40	0.47	3
09114	PITRUFQUEN	0.08	0.20	1	0.34	0.47	2
12201		0.00	0.00	0	0.00	0.00	0
09116	PUERTO SAAVEDRA	0.00	0.00	0	0.00	0.00	0
09117	TEODORO SCHMIDT	0.07	0.20	1	0.36	0.47	3
